 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
   213.000,   1,  0.11086892E+05,   0.00000000E+00,  -0.25210151E+05,   0.00000000E+00,   0.00000000E+00,   0.23148329E+00,   0.00000000E+00,   0.00000000E+00,   0.33783628E-09,
   214.000,   1,  0.41482249E+07,   0.00000000E+00,  -0.94325239E+07,   0.00000000E+00,   0.00000000E+00,   0.86610814E+02,   0.00000000E+00,   0.00000000E+00,   0.10853616E-10,
   215.000,   1,  0.82853477E+07,   0.00000000E+00,  -0.18839803E+08,   0.00000000E+00,   0.00000000E+00,   0.17298982E+03,   0.00000000E+00,   0.00000000E+00,   0.53955058E-11,
   216.000,   1,  0.12423335E+08,   0.00000000E+00,  -0.28249049E+08,   0.00000000E+00,   0.00000000E+00,   0.25938690E+03,   0.00000000E+00,   0.00000000E+00,   0.53056501E-11,
   217.000,   1,  0.16561114E+08,   0.00000000E+00,  -0.37657820E+08,   0.00000000E+00,   0.00000000E+00,   0.34577961E+03,   0.00000000E+00,   0.00000000E+00,   0.28949083E-11,
   218.000,   1,  0.20701161E+08,   0.00000000E+00,  -0.47071746E+08,   0.00000000E+00,   0.00000000E+00,   0.43221966E+03,   0.00000000E+00,   0.00000000E+00,   0.20193027E-11,
   219.000,   1,  0.24838294E+08,   0.00000000E+00,  -0.56479049E+08,   0.00000000E+00,   0.00000000E+00,   0.51859889E+03,   0.00000000E+00,   0.00000000E+00,   0.21422587E-11,
   220.000,   1,  0.28975307E+08,   0.00000000E+00,  -0.65886080E+08,   0.00000000E+00,   0.00000000E+00,   0.60497562E+03,   0.00000000E+00,   0.00000000E+00,   0.20987636E-11,
   221.000,   1,  0.33112419E+08,   0.00000000E+00,  -0.75293334E+08,   0.00000000E+00,   0.00000000E+00,   0.69135441E+03,   0.00000000E+00,   0.00000000E+00,  -0.19780095E-11,
   222.000,   1,  0.37253170E+08,   0.00000000E+00,  -0.84708864E+08,   0.00000000E+00,   0.00000000E+00,   0.77780917E+03,   0.00000000E+00,   0.00000000E+00,  -0.33905005E-11,
   223.000,   1,  0.41391100E+08,   0.00000000E+00,  -0.94117977E+08,   0.00000000E+00,   0.00000000E+00,   0.86420503E+03,   0.00000000E+00,   0.00000000E+00,  -0.24017891E-11,
   224.000,   1,  0.45530519E+08,   0.00000000E+00,  -0.10353048E+09,   0.00000000E+00,   0.00000000E+00,   0.95063200E+03,   0.00000000E+00,   0.00000000E+00,  -0.51117200E-11,
   225.000,   1,  0.49667918E+08,   0.00000000E+00,  -0.11293838E+09,   0.00000000E+00,   0.00000000E+00,   0.10370168E+04,   0.00000000E+00,   0.00000000E+00,  -0.26492281E-11,
   226.000,   1,  0.53806780E+08,   0.00000000E+00,  -0.12234962E+09,   0.00000000E+00,   0.00000000E+00,   0.11234321E+04,   0.00000000E+00,   0.00000000E+00,  -0.12824682E-11,
   227.000,   1,  0.57944673E+08,   0.00000000E+00,  -0.13175865E+09,   0.00000000E+00,   0.00000000E+00,   0.12098272E+04,   0.00000000E+00,   0.00000000E+00,  -0.17359259E-11,
   228.000,   1,  0.62083144E+08,   0.00000000E+00,  -0.14116899E+09,   0.00000000E+00,   0.00000000E+00,   0.12962343E+04,   0.00000000E+00,   0.00000000E+00,   0.19781143E-11,
   229.000,   1,  0.66221115E+08,   0.00000000E+00,  -0.15057820E+09,   0.00000000E+00,   0.00000000E+00,   0.13826311E+04,   0.00000000E+00,   0.00000000E+00,   0.16602679E-11,
   230.000,   1,  0.70359015E+08,   0.00000000E+00,  -0.15998725E+09,   0.00000000E+00,   0.00000000E+00,   0.14690263E+04,   0.00000000E+00,   0.00000000E+00,  -0.20114985E-11,
   231.000,   1,  0.74497385E+08,   0.00000000E+00,  -0.16939736E+09,   0.00000000E+00,   0.00000000E+00,   0.15554314E+04,   0.00000000E+00,   0.00000000E+00,  -0.29202614E-11,
   232.000,   1,  0.78635781E+08,   0.00000000E+00,  -0.17880754E+09,   0.00000000E+00,   0.00000000E+00,   0.16418370E+04,   0.00000000E+00,   0.00000000E+00,  -0.13832910E-11,
   233.000,   1,  0.82773998E+08,   0.00000000E+00,  -0.18821730E+09,   0.00000000E+00,   0.00000000E+00,   0.17282388E+04,   0.00000000E+00,   0.00000000E+00,  -0.21195885E-11,
   234.000,   1,  0.86911981E+08,   0.00000000E+00,  -0.19762654E+09,   0.00000000E+00,   0.00000000E+00,   0.18146358E+04,   0.00000000E+00,   0.00000000E+00,   0.26915686E-13,
   235.000,   1,  0.91050196E+08,   0.00000000E+00,  -0.20703630E+09,   0.00000000E+00,   0.00000000E+00,   0.19010376E+04,   0.00000000E+00,   0.00000000E+00,   0.17984662E-12,
   236.000,   1,  0.95188268E+08,   0.00000000E+00,  -0.21644574E+09,   0.00000000E+00,   0.00000000E+00,   0.19874364E+04,   0.00000000E+00,   0.00000000E+00,   0.65125284E-12,
   237.000,   1,  0.99317417E+08,   0.00000000E+00,  -0.22583489E+09,   0.00000000E+00,   0.00000000E+00,   0.20736490E+04,   0.00000000E+00,   0.00000000E+00,  -0.45934875E-12,
   238.000,   1,  0.10346479E+09,   0.00000000E+00,  -0.23526547E+09,   0.00000000E+00,   0.00000000E+00,   0.21602419E+04,   0.00000000E+00,   0.00000000E+00,   0.80266794E-12,
   239.000,   1,  0.10760270E+09,   0.00000000E+00,  -0.24467454E+09,   0.00000000E+00,   0.00000000E+00,   0.22466374E+04,   0.00000000E+00,   0.00000000E+00,   0.48481524E-11,
   240.000,   1,  0.11174078E+09,   0.00000000E+00,  -0.25408399E+09,   0.00000000E+00,   0.00000000E+00,   0.23330364E+04,   0.00000000E+00,   0.00000000E+00,   0.51291897E-11,
   241.000,   1,  0.11587909E+09,   0.00000000E+00,  -0.26349397E+09,   0.00000000E+00,   0.00000000E+00,   0.24194401E+04,   0.00000000E+00,   0.00000000E+00,   0.57535381E-11,
   242.000,   1,  0.12001262E+09,   0.00000000E+00,  -0.27289308E+09,   0.00000000E+00,   0.00000000E+00,   0.25057442E+04,   0.00000000E+00,   0.00000000E+00,   0.30604795E-11,
   243.000,   1,  0.12415342E+09,   0.00000000E+00,  -0.28230873E+09,   0.00000000E+00,   0.00000000E+00,   0.25922001E+04,   0.00000000E+00,   0.00000000E+00,   0.32221571E-11,
   244.000,   1,  0.12828971E+09,   0.00000000E+00,  -0.29171299E+09,   0.00000000E+00,   0.00000000E+00,   0.23725621E+04,   0.00000000E+00,   0.00000000E+00,   0.51061860E-11,
   245.000,   1,  0.13625929E+09,   0.00000000E+00,  -0.30867463E+09,   0.00000000E+00,   0.00000000E+00,  -0.31439641E+06,   0.00000000E+00,   0.00000000E+00,   0.66937476E-11,
   246.000,   1,  0.14421704E+09,   0.00000000E+00,  -0.32561107E+09,   0.00000000E+00,   0.00000000E+00,  -0.63069497E+06,   0.00000000E+00,   0.00000000E+00,   0.37653402E-11,
   247.000,   1,  0.15217486E+09,   0.00000000E+00,  -0.34254767E+09,   0.00000000E+00,   0.00000000E+00,  -0.94699648E+06,   0.00000000E+00,   0.00000000E+00,   0.29905608E-11,
   248.000,   1,  0.16013283E+09,   0.00000000E+00,  -0.35948460E+09,   0.00000000E+00,   0.00000000E+00,  -0.12633040E+07,   0.00000000E+00,   0.00000000E+00,   0.43225935E-11,
   249.000,   1,  0.16809085E+09,   0.00000000E+00,  -0.37642162E+09,   0.00000000E+00,   0.00000000E+00,  -0.15796133E+07,   0.00000000E+00,   0.00000000E+00,   0.28819175E-11,
   250.000,   1,  0.17604816E+09,   0.00000000E+00,  -0.39335712E+09,   0.00000000E+00,   0.00000000E+00,  -0.18958943E+07,   0.00000000E+00,   0.00000000E+00,   0.30180370E-11,
   251.000,   1,  0.18400957E+09,   0.00000000E+00,  -0.41030137E+09,   0.00000000E+00,   0.00000000E+00,  -0.22123386E+07,   0.00000000E+00,   0.00000000E+00,  -0.45644021E-12,
   252.000,   1,  0.19196568E+09,   0.00000000E+00,  -0.42723433E+09,   0.00000000E+00,   0.00000000E+00,  -0.25285720E+07,   0.00000000E+00,   0.00000000E+00,  -0.11153234E-11,
   253.000,   1,  0.19992690E+09,   0.00000000E+00,  -0.44417817E+09,   0.00000000E+00,   0.00000000E+00,  -0.28450088E+07,   0.00000000E+00,   0.00000000E+00,   0.37386510E-12,
   254.000,   1,  0.20788534E+09,   0.00000000E+00,  -0.46111609E+09,   0.00000000E+00,   0.00000000E+00,  -0.31613349E+07,   0.00000000E+00,   0.00000000E+00,  -0.28359473E-11,
   255.000,   1,  0.21584351E+09,   0.00000000E+00,  -0.47805343E+09,   0.00000000E+00,   0.00000000E+00,  -0.34776502E+07,   0.00000000E+00,   0.00000000E+00,  -0.26469890E-11,
   256.000,   1,  0.22380142E+09,   0.00000000E+00,  -0.49499022E+09,   0.00000000E+00,   0.00000000E+00,  -0.37939551E+07,   0.00000000E+00,   0.00000000E+00,  -0.21674092E-11,
   257.000,   1,  0.23176006E+09,   0.00000000E+00,  -0.51192857E+09,   0.00000000E+00,   0.00000000E+00,  -0.41102894E+07,   0.00000000E+00,   0.00000000E+00,  -0.19078333E-11,
   258.000,   1,  0.23971862E+09,   0.00000000E+00,  -0.52886675E+09,   0.00000000E+00,   0.00000000E+00,  -0.44266202E+07,   0.00000000E+00,   0.00000000E+00,  -0.41415083E-11,
   259.000,   1,  0.24767684E+09,   0.00000000E+00,  -0.54580420E+09,   0.00000000E+00,   0.00000000E+00,  -0.47429376E+07,   0.00000000E+00,   0.00000000E+00,  -0.49000015E-11,
   260.000,   1,  0.25563407E+09,   0.00000000E+00,  -0.56273955E+09,   0.00000000E+00,   0.00000000E+00,  -0.50592157E+07,   0.00000000E+00,   0.00000000E+00,  -0.53840979E-11,
