JDAY,SEG   2,SEG   3,SEG   4,SEG   5,SEG   6,SEG   7,SEG   8,SEG   9,SEG  10,SEG  11,SEG  12,SEG  13,SEG  14,SEG  15,SEG  16,SEG  17,SEG  18,SEG  19,SEG  20,SEG  21,SEG  22,SEG  23,SEG  24,SEG  25,SEG  26,SEG  27,SEG  28,SEG  29,SEG  30,SEG  31,SEG  32,SEG  33,SEG  34,SEG  35,SEG  36,SEG  37,SEG  38,SEG  39,SEG  40,SEG  41,SEG  42,SEG  43,SEG  44,SEG  45,SEG  46,SEG  47,SEG  48,SEG  49,SEG  50,SEG  51,SEG  52,SEG  53,SEG  54,SEG  55,SEG  56,SEG  57,SEG  58,SEG  59,SEG  60,SEG  61,SEG  62,SEG  63,SEG  64,SEG  65,SEG  66,SEG  67,SEG  68,SEG  69,SEG  70,SEG  71,SEG  72,SEG  73,SEG  74,SEG  75,SEG  76,SEG  77,SEG  80,SEG  81,SEG  82,SEG  83,SEG  84,SEG  85,SEG  86,SEG  87,SEG  88,SEG  89,SEG  90,SEG  91,SEG  92,SEG  93,SEG  94,SEG  95,SEG  96,SEG  97,SEG  98,SEG  99,SEG 100,SEG 101,SEG 102,SEG 103,SEG 104,SEG 105,SEG 106,SEG 107,SEG 108,SEG 109,SEG 110,SEG 111,SEG 112,SEG 115,SEG 116,SEG 117,SEG 118,SEG 119,SEG 120,SEG 121,SEG 122,SEG 123,SEG 124,SEG 125,SEG 126,SEG 127,SEG 128,SEG 129,SEG 130,SEG 131,SEG 132,SEG 133,SEG 134,SEG 135,SEG 136,SEG 137,SEG 138,SEG 139,SEG 140,SEG 141,SEG 142,SEG 143,SEG 144,SEG 145,SEG 146,SEG 147,SEG 148,SEG 151,SEG 152,SEG 153,SEG 154,SEG 155,SEG 156,SEG 157,SEG 158,SEG 159,SEG 160,SEG 161,SEG 162,SEG 163,SEG 164,SEG 165,SEG 166,SEG 167,SEG 168,SEG 169,SEG 170,SEG 171,SEG 172,SEG 173,SEG 174,SEG 175,SEG 176,SEG 177,SEG 178,SEG 179,SEG 180,SEG 181,SEG 182,SEG 183,SEG 184,SEG 185,SEG 186,SEG 187,SEG 188,SEG 189,SEG 190,SEG 191,SEG 192,SEG 193,SEG 194,SEG 195,SEG 196,SEG 197,SEG 198,SEG 199,SEG 200,SEG 201,SEG 202,SEG 203,SEG 204,SEG 205,SEG 206,SEG 207,SEG 208,SEG 209,SEG 210,SEG 211,SEG 212,SEG 213,SEG 214,SEG 215,SEG 216,SEG 217,SEG 218,SEG 219,SEG 220,SEG 223,SEG 224,SEG 225,SEG 226,SEG 227,SEG 228,SEG 229,SEG 230,SEG 231,SEG 232,SEG 233,SEG 234,SEG
   213.000, 307.336, 307.306, 307.241, 307.204, 307.195, 307.192, 307.191, 307.191, 307.191, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.189, 307.189, 307.189, 307.189, 307.189, 307.189, 307.189, 307.189, 307.189, 307.189, 307.188, 307.188,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190,-999.000,-999.000,-999.000,-999.000,-999.000, 307.193, 307.192, 307.191, 307.191, 307.191, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000, 307.193, 307.192, 307.191, 307.191, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.190, 307.189, 307.189,-999.000, 307.189, 307.189, 307.189, 307.189, 307.189, 307.189, 307.189, 307.189, 307.189, 307.189, 307.189,
   214.000, 307.131, 307.139, 307.131, 307.122, 307.125, 307.132, 307.133, 307.133, 307.133, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.133, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133, 307.134, 307.134, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133, 307.132, 307.132, 307.133, 307.133, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.133, 307.133,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.132, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133,-999.000,-999.000,-999.000,-999.000, 307.132, 307.133, 307.135, 307.136, 307.136, 307.136, 307.136, 307.136, 307.136, 307.136, 307.136, 307.136, 307.136, 307.136, 307.135, 307.135, 307.135, 307.135, 307.135, 307.135, 307.135, 307.134, 307.134, 307.134, 307.134, 307.134, 307.133, 307.133, 307.133, 307.133,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000, 307.134, 307.134, 307.134, 307.135, 307.135, 307.135, 307.135, 307.135, 307.135, 307.135, 307.135, 307.135, 307.136, 307.135, 307.135, 307.136, 307.136, 307.135, 307.135, 307.135, 307.135, 307.135, 307.135, 307.135, 307.134, 307.134, 307.134, 307.134, 307.134, 307.134, 307.134, 307.134, 307.134, 307.134, 307.134, 307.134, 307.134, 307.134, 307.134, 307.134, 307.134, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133, 307.133,-999.000, 307.130, 307.130, 307.130, 307.130, 307.130, 307.130, 307.130, 307.131, 307.131, 307.131, 307.132,
   215.000, 307.076, 307.084, 307.075, 307.066, 307.068, 307.076, 307.076, 307.076, 307.076, 307.076, 307.076, 307.076, 307.076, 307.076, 307.076, 307.075, 307.075, 307.075, 307.074, 307.074, 307.073, 307.073, 307.073, 307.073, 307.073, 307.073, 307.073, 307.073, 307.073, 307.073, 307.073, 307.073, 307.073, 307.073, 307.073, 307.073, 307.073, 307.073, 307.073, 307.073, 307.073, 307.073, 307.073, 307.073, 307.073, 307.074, 307.074, 307.075, 307.075, 307.074, 307.074, 307.074, 307.075, 307.075, 307.075, 307.075, 307.076, 307.076, 307.076, 307.076, 307.077, 307.077, 307.076, 307.076, 307.076, 307.076, 307.076, 307.076, 307.075, 307.075, 307.075, 307.074, 307.074, 307.074, 307.073, 307.073,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000, 307.077, 307.077, 307.077, 307.077, 307.077, 307.077, 307.077, 307.076, 307.076, 307.076, 307.076, 307.076, 307.076, 307.076, 307.076, 307.076, 307.075, 307.075, 307.075, 307.075, 307.075, 307.075, 307.075, 307.075, 307.075, 307.074,-999.000,-999.000,-999.000,-999.000, 307.079, 307.080, 307.082, 307.082, 307.082, 307.082, 307.083, 307.082, 307.082, 307.082, 307.082, 307.082, 307.082, 307.082, 307.082, 307.082, 307.082, 307.081, 307.081, 307.081, 307.080, 307.079, 307.078, 307.078, 307.077, 307.077, 307.077, 307.076, 307.076, 307.076,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000, 307.082, 307.082, 307.082, 307.082, 307.082, 307.083, 307.082, 307.083, 307.083, 307.083, 307.083, 307.083, 307.083, 307.082, 307.082, 307.083, 307.083, 307.083, 307.083, 307.083, 307.083, 307.083, 307.082, 307.082, 307.082, 307.082, 307.082, 307.081, 307.081, 307.081, 307.080, 307.080, 307.080, 307.079, 307.079, 307.079, 307.079, 307.079, 307.079, 307.078, 307.078, 307.078, 307.078, 307.078, 307.078, 307.078, 307.077, 307.077, 307.077, 307.077, 307.077, 307.077, 307.077,-999.000, 307.074, 307.074, 307.074, 307.074, 307.074, 307.075, 307.074, 307.075, 307.074, 307.074, 307.074,
   216.000, 307.023, 307.033, 307.022, 307.012, 307.014, 307.020, 307.022, 307.022, 307.022, 307.022, 307.022, 307.021, 307.021, 307.021, 307.021, 307.021, 307.021, 307.021, 307.020, 307.020, 307.020, 307.019, 307.019, 307.019, 307.019, 307.019, 307.018, 307.018, 307.018, 307.017, 307.017, 307.017, 307.017, 307.017, 307.017, 307.018, 307.018, 307.018, 307.018, 307.018, 307.018, 307.018, 307.018, 307.018, 307.018, 307.019, 307.019, 307.019, 307.019, 307.019, 307.019, 307.019, 307.019, 307.019, 307.019, 307.019, 307.019, 307.019, 307.019, 307.019, 307.019, 307.019, 307.018, 307.018, 307.018, 307.018, 307.018, 307.018, 307.018, 307.017, 307.017, 307.017, 307.017, 307.016, 307.016, 307.015,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000, 307.021, 307.021, 307.021, 307.021, 307.021, 307.021, 307.021, 307.021, 307.021, 307.021, 307.021, 307.020, 307.020, 307.020, 307.020, 307.020, 307.020, 307.020, 307.020, 307.020, 307.020, 307.020, 307.019, 307.019, 307.019, 307.019,-999.000,-999.000,-999.000,-999.000, 307.020, 307.021, 307.024, 307.024, 307.025, 307.025, 307.025, 307.025, 307.025, 307.025, 307.024, 307.024, 307.024, 307.024, 307.024, 307.024, 307.023, 307.023, 307.023, 307.023, 307.022, 307.022, 307.021, 307.021, 307.020, 307.020, 307.020, 307.020, 307.019, 307.019,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000, 307.022, 307.022, 307.022, 307.023, 307.024, 307.024, 307.024, 307.024, 307.024, 307.024, 307.024, 307.024, 307.024, 307.024, 307.024, 307.024, 307.023, 307.023, 307.023, 307.023, 307.023, 307.023, 307.022, 307.022, 307.022, 307.022, 307.021, 307.021, 307.021, 307.021, 307.021, 307.021, 307.021, 307.021, 307.021, 307.020, 307.020, 307.020, 307.020, 307.020, 307.020, 307.020, 307.020, 307.020, 307.019, 307.019, 307.019, 307.019, 307.019, 307.019, 307.019, 307.019, 307.019,-999.000, 307.022, 307.022, 307.022, 307.022, 307.021, 307.021, 307.020, 307.020, 307.019, 307.019, 307.018,
   217.000, 306.961, 306.973, 306.961, 306.951, 306.954, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.960, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.962, 306.962, 306.962, 306.962, 306.962, 306.962, 306.962, 306.962, 306.962, 306.962, 306.962, 306.963, 306.963, 306.963, 306.963, 306.963, 306.963, 306.963, 306.963, 306.963, 306.963, 306.963, 306.962, 306.962, 306.962, 306.962, 306.962, 306.962, 306.961, 306.961, 306.961, 306.962, 306.962,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000, 306.962, 306.961, 306.961, 306.962, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.962,-999.000,-999.000,-999.000,-999.000, 306.959, 306.961, 306.964, 306.964, 306.964, 306.964, 306.965, 306.965, 306.965, 306.965, 306.965, 306.965, 306.965, 306.965, 306.964, 306.964, 306.964, 306.964, 306.964, 306.964, 306.963, 306.963, 306.963, 306.963, 306.963, 306.963, 306.962, 306.962, 306.962, 306.963,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000, 306.963, 306.963, 306.964, 306.964, 306.965, 306.965, 306.965, 306.965, 306.965, 306.965, 306.965, 306.966, 306.966, 306.966, 306.965, 306.966, 306.966, 306.966, 306.965, 306.965, 306.965, 306.965, 306.965, 306.965, 306.965, 306.965, 306.964, 306.964, 306.964, 306.964, 306.964, 306.964, 306.964, 306.963, 306.963, 306.963, 306.963, 306.963, 306.963, 306.963, 306.963, 306.964, 306.964, 306.963, 306.963, 306.963, 306.963, 306.963, 306.963, 306.963, 306.963, 306.963, 306.963,-999.000, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961, 306.961,
   218.000, 306.916, 306.921, 306.906, 306.895, 306.897, 306.902, 306.905, 306.906, 306.907, 306.907, 306.907, 306.907, 306.906, 306.906, 306.906, 306.906, 306.906, 306.905, 306.905, 306.905, 306.905, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.905, 306.905, 306.905, 306.905, 306.905, 306.905, 306.905, 306.905, 306.905, 306.906, 306.905, 306.906, 306.905, 306.905, 306.906, 306.906, 306.906, 306.906, 306.906, 306.906, 306.906, 306.906, 306.906, 306.905, 306.905, 306.905, 306.906, 306.906, 306.905, 306.905,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000, 306.906, 306.906, 306.906, 306.906, 306.906, 306.906, 306.906, 306.905, 306.905, 306.905, 306.905, 306.905, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.904, 306.905,-999.000,-999.000,-999.000,-999.000, 306.903, 306.904, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.906, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.906, 306.906, 306.906, 306.906, 306.906, 306.906, 306.905, 306.905, 306.905, 306.905,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000, 306.906, 306.906, 306.906, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.908, 306.908, 306.907, 306.908, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.907, 306.906, 306.906, 306.906, 306.906, 306.906, 306.906, 306.906, 306.906, 306.906, 306.906, 306.906, 306.906, 306.906, 306.906, 306.906, 306.906, 306.906, 306.906,-999.000, 306.905, 306.905, 306.905, 306.905, 306.905, 306.905, 306.905, 306.905, 306.905, 306.905, 306.905,
   219.000, 306.852, 306.859, 306.847, 306.834, 306.838, 306.844, 306.846, 306.845, 306.847, 306.847, 306.847, 306.846, 306.846, 306.846, 306.846, 306.846, 306.847, 306.847, 306.847, 306.847, 306.847, 306.847, 306.847, 306.847, 306.847, 306.847, 306.847, 306.847, 306.847, 306.847, 306.847, 306.847, 306.848, 306.848, 306.848, 306.847, 306.847, 306.847, 306.847, 306.847, 306.847, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848, 306.849, 306.849, 306.849, 306.849, 306.849, 306.849, 306.849, 306.849, 306.849, 306.849, 306.849, 306.849, 306.849, 306.849, 306.849, 306.849, 306.849, 306.848, 306.848, 306.849, 306.849, 306.848, 306.848,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000, 306.849, 306.849, 306.849, 306.849, 306.849, 306.849, 306.849, 306.849, 306.849, 306.849, 306.849, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848,-999.000,-999.000,-999.000,-999.000, 306.846, 306.847, 306.850, 306.850, 306.850, 306.850, 306.850, 306.850, 306.850, 306.850, 306.850, 306.849, 306.849, 306.849, 306.849, 306.849, 306.850, 306.849, 306.849, 306.849, 306.849, 306.849, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000, 306.849, 306.849, 306.849, 306.850, 306.851, 306.851, 306.851, 306.851, 306.851, 306.851, 306.851, 306.851, 306.851, 306.851, 306.851, 306.851, 306.851, 306.851, 306.851, 306.851, 306.851, 306.851, 306.851, 306.851, 306.851, 306.851, 306.851, 306.851, 306.851, 306.851, 306.851, 306.850, 306.850, 306.850, 306.850, 306.850, 306.850, 306.850, 306.850, 306.850, 306.850, 306.850, 306.850, 306.850, 306.850, 306.850, 306.850, 306.849, 306.849, 306.849, 306.849, 306.849, 306.849,-999.000, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848, 306.848,
   220.000, 306.798, 306.807, 306.791, 306.777, 306.780, 306.787, 306.791, 306.792, 306.792, 306.792, 306.792, 306.792, 306.791, 306.791, 306.791, 306.790, 306.790, 306.789, 306.789, 306.789, 306.789, 306.789, 306.789, 306.789, 306.789, 306.789, 306.789, 306.788, 306.788, 306.788, 306.788, 306.788, 306.788, 306.788, 306.789, 306.789, 306.788, 306.788, 306.788, 306.788, 306.788, 306.789, 306.789, 306.790, 306.790, 306.790, 306.791, 306.792, 306.792, 306.791, 306.791, 306.792, 306.792, 306.792, 306.792, 306.792, 306.791, 306.791, 306.791, 306.791, 306.790, 306.790, 306.790, 306.790, 306.790, 306.790, 306.790, 306.790, 306.789, 306.789, 306.789, 306.788, 306.788, 306.787, 306.787, 306.786,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000, 306.792, 306.792, 306.792, 306.792, 306.792, 306.792, 306.792, 306.791, 306.791, 306.791, 306.791, 306.791, 306.791, 306.791, 306.791, 306.791, 306.791, 306.791, 306.791, 306.791, 306.790, 306.790, 306.790, 306.791, 306.791, 306.791,-999.000,-999.000,-999.000,-999.000, 306.797, 306.797, 306.799, 306.799, 306.799, 306.799, 306.799, 306.799, 306.800, 306.800, 306.800, 306.799, 306.799, 306.799, 306.799, 306.799, 306.798, 306.798, 306.798, 306.797, 306.797, 306.796, 306.795, 306.794, 306.794, 306.794, 306.793, 306.793, 306.792, 306.792,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000, 306.801, 306.800, 306.800, 306.800, 306.801, 306.801, 306.801, 306.801, 306.801, 306.801, 306.801, 306.801, 306.801, 306.800, 306.800, 306.800, 306.800, 306.800, 306.800, 306.800, 306.800, 306.800, 306.800, 306.799, 306.799, 306.799, 306.798, 306.798, 306.797, 306.797, 306.796, 306.796, 306.795, 306.795, 306.795, 306.794, 306.794, 306.794, 306.794, 306.793, 306.793, 306.793, 306.793, 306.793, 306.793, 306.793, 306.793, 306.792, 306.792, 306.792, 306.792, 306.792, 306.791,-999.000, 306.793, 306.793, 306.793, 306.792, 306.792, 306.791, 306.790, 306.790, 306.789, 306.789, 306.789,
   221.000, 306.742, 306.748, 306.731, 306.719, 306.723, 306.730, 306.732, 306.732, 306.733, 306.733, 306.733, 306.733, 306.733, 306.733, 306.732, 306.732, 306.732, 306.732, 306.732, 306.731, 306.731, 306.730, 306.730, 306.730, 306.730, 306.730, 306.730, 306.730, 306.731, 306.731, 306.731, 306.731, 306.731, 306.731, 306.731, 306.731, 306.731, 306.731, 306.731, 306.731, 306.731, 306.731, 306.732, 306.732, 306.732, 306.732, 306.733, 306.732, 306.733, 306.733, 306.733, 306.733, 306.734, 306.734, 306.734, 306.735, 306.736, 306.735, 306.735, 306.735, 306.735, 306.735, 306.735, 306.735, 306.736, 306.736, 306.737, 306.735, 306.735, 306.734, 306.734, 306.734, 306.734, 306.734, 306.733, 306.733,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000, 306.734, 306.734, 306.734, 306.734, 306.734, 306.734, 306.734, 306.734, 306.734, 306.733, 306.733, 306.733, 306.733, 306.733, 306.733, 306.733, 306.733, 306.733, 306.733, 306.733, 306.732, 306.732, 306.732, 306.732, 306.732, 306.732,-999.000,-999.000,-999.000,-999.000, 306.734, 306.735, 306.738, 306.738, 306.738, 306.738, 306.738, 306.738, 306.738, 306.739, 306.739, 306.739, 306.739, 306.739, 306.738, 306.738, 306.738, 306.738, 306.738, 306.737, 306.737, 306.737, 306.736, 306.736, 306.735, 306.735, 306.735, 306.735, 306.734, 306.735,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000, 306.737, 306.738, 306.738, 306.738, 306.739, 306.740, 306.740, 306.740, 306.740, 306.740, 306.740, 306.740, 306.740, 306.740, 306.740, 306.740, 306.740, 306.740, 306.740, 306.740, 306.740, 306.740, 306.740, 306.740, 306.740, 306.739, 306.739, 306.739, 306.739, 306.738, 306.738, 306.739, 306.738, 306.738, 306.738, 306.738, 306.737, 306.737, 306.737, 306.737, 306.737, 306.737, 306.737, 306.737, 306.737, 306.737, 306.737, 306.736, 306.736, 306.736, 306.736, 306.736, 306.736,-999.000, 306.736, 306.736, 306.736, 306.736, 306.736, 306.735, 306.735, 306.735, 306.735, 306.734, 306.734,
   222.000, 306.705, 306.705, 306.681, 306.666, 306.669, 306.675, 306.679, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.677, 306.677, 306.677, 306.677, 306.677, 306.677, 306.677, 306.677, 306.677, 306.677, 306.676, 306.677, 306.676, 306.676, 306.676, 306.676, 306.676, 306.676, 306.677, 306.676, 306.676, 306.676, 306.676, 306.676, 306.676, 306.676, 306.677, 306.677, 306.677, 306.677, 306.677, 306.677, 306.677, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.677, 306.677, 306.677, 306.677, 306.676, 306.676, 306.676,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.677, 306.677, 306.677, 306.678, 306.678, 306.678, 306.678, 306.678, 306.677, 306.677, 306.677, 306.677, 306.677, 306.677, 306.677,-999.000,-999.000,-999.000,-999.000,-999.000, 306.680, 306.680, 306.680, 306.681, 306.681, 306.681, 306.681, 306.681, 306.681, 306.681, 306.681, 306.681, 306.681, 306.681, 306.681, 306.681, 306.680, 306.680, 306.680, 306.680, 306.679, 306.679, 306.679, 306.679, 306.679, 306.678, 306.678, 306.678, 306.678,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000, 306.678, 306.678, 306.679, 306.679, 306.680, 306.680, 306.680, 306.680, 306.680, 306.681, 306.681, 306.681, 306.681, 306.681, 306.681, 306.681, 306.681, 306.681, 306.681, 306.681, 306.680, 306.680, 306.680, 306.680, 306.680, 306.680, 306.679, 306.679, 306.679, 306.679, 306.679, 306.679, 306.679, 306.679, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.678, 306.679, 306.679, 306.679, 306.679, 306.679, 306.679, 306.679, 306.679, 306.678, 306.678, 306.678,-999.000, 306.679, 306.679, 306.679, 306.679, 306.678, 306.678, 306.678, 306.677, 306.677, 306.677, 306.677,
